epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.672,1.2079,2.94464,1.433,0.40611,0.40247,0.38027,0.26466,0.9678,3.87352,1.17903,0.000233333,0.000233333,0.000233333
2,233.054,1.06046,1.74791,1.27075,0.37181,0.50007,0.40242,0.25057,1.1478,2.50887,1.36085,0.000462001,0.000462001,0.000462001
3,345.108,1.05457,1.56142,1.29464,0.43874,0.40855,0.44946,0.29902,1.20108,2.04932,1.46375,0.000681244,0.000681244,0.000681244
4,461.157,1.03279,1.39318,1.27991,0.37963,0.61061,0.54619,0.35239,1.20461,2.42315,1.50159,0.000671588,0.000671588,0.000671588
5,580.01,0.97519,1.22889,1.23889,0.56423,0.65017,0.58701,0.41643,1.19083,1.61799,1.56409,0.000657451,0.000657451,0.000657451
6,695.047,0.95832,1.20696,1.23789,0.46145,0.6902,0.60945,0.42561,1.02302,1.53593,1.41782,0.000643314,0.000643314,0.000643314
7,808.467,0.96517,1.13795,1.23724,0.76219,0.57796,0.69806,0.49643,1.14916,1.2615,1.49783,0.000629177,0.000629177,0.000629177
8,920.629,0.93874,1.06888,1.21029,0.60486,0.58843,0.69074,0.50358,1.06331,1.43757,1.47709,0.00061504,0.00061504,0.00061504
9,1033,0.93233,1.00886,1.20573,0.69936,0.63222,0.62226,0.44033,0.98622,1.69262,1.38531,0.000600902,0.000600902,0.000600902
10,1145.75,0.90107,0.95738,1.1908,0.67592,0.68065,0.75878,0.56896,0.98814,1.24452,1.3747,0.000586765,0.000586765,0.000586765
11,1258.2,0.85795,0.91684,1.16969,0.7742,0.71024,0.84423,0.63241,0.9791,1.15287,1.40087,0.000572628,0.000572628,0.000572628
12,1370.35,0.83833,0.87408,1.14659,0.72589,0.78706,0.86266,0.63594,0.96368,1.0006,1.35833,0.000558491,0.000558491,0.000558491
13,1482.58,0.82801,0.88225,1.16011,0.77555,0.75531,0.83952,0.61848,0.9629,1.00839,1.31977,0.000544354,0.000544354,0.000544354
14,1594.41,0.81862,0.85747,1.13656,0.68697,0.76879,0.78763,0.59473,0.94024,1.13744,1.31842,0.000530216,0.000530216,0.000530216
15,1706.54,0.81189,0.80262,1.13022,0.74482,0.80778,0.86145,0.63305,0.94499,1.01566,1.35931,0.000516079,0.000516079,0.000516079
16,1818.61,0.78854,0.79082,1.11818,0.85079,0.82079,0.88276,0.65601,0.92776,0.9381,1.30792,0.000501942,0.000501942,0.000501942
17,1930.76,0.77764,0.76049,1.1217,0.7709,0.91868,0.89668,0.66208,0.96462,0.86592,1.35855,0.000487805,0.000487805,0.000487805
18,2045.22,0.75252,0.73271,1.11248,0.8827,0.71304,0.82807,0.62721,0.91521,1.0884,1.33274,0.000473668,0.000473668,0.000473668
19,2162.61,0.76829,0.73806,1.11295,0.67712,0.75125,0.8032,0.59749,0.98072,1.02697,1.39336,0.00045953,0.00045953,0.00045953
20,2278.29,0.7392,0.69195,1.09821,0.87447,0.71314,0.8467,0.657,0.95824,1.02646,1.37281,0.000445393,0.000445393,0.000445393
21,2392.6,0.71029,0.66963,1.0857,0.79441,0.79059,0.88038,0.66921,0.91491,0.80703,1.31079,0.000431256,0.000431256,0.000431256
22,2511.5,0.71849,0.67729,1.09936,0.85973,0.78046,0.91928,0.69281,0.92632,0.81614,1.30175,0.000417119,0.000417119,0.000417119
23,2626.65,0.71077,0.64024,1.08935,0.90382,0.83143,0.92423,0.68526,0.94312,0.84814,1.36024,0.000402982,0.000402982,0.000402982
24,2742,0.68374,0.61079,1.06758,0.88283,0.71387,0.87425,0.65712,0.93886,0.94329,1.33142,0.000388844,0.000388844,0.000388844
25,2856.28,0.71034,0.63302,1.09069,0.73373,0.88283,0.86657,0.66106,0.90576,0.7797,1.30068,0.000374707,0.000374707,0.000374707
26,2970.34,0.65548,0.59219,1.05919,0.83621,0.78792,0.87276,0.68136,0.87649,0.80235,1.27715,0.00036057,0.00036057,0.00036057
27,3082.22,0.65828,0.57417,1.05694,0.79431,0.76498,0.84585,0.64952,0.88513,0.91715,1.29398,0.000346433,0.000346433,0.000346433
28,3194.46,0.66523,0.57847,1.06767,0.81617,0.83173,0.90039,0.7029,0.90377,0.77551,1.30327,0.000332296,0.000332296,0.000332296
29,3307.03,0.65255,0.56595,1.04915,0.83476,0.8205,0.90011,0.71057,0.85528,0.70806,1.28292,0.000318158,0.000318158,0.000318158
30,3420.55,0.64247,0.576,1.05705,0.90947,0.71676,0.86875,0.67066,0.90576,0.82466,1.31227,0.000304021,0.000304021,0.000304021
