epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.21,1.34395,3.80724,1.58253,0.28455,0.25679,0.17031,0.12056,1.13611,8.411,1.45042,0.0001071,0.0001071,0.0001071
2,86.0158,1.07008,2.57807,1.32091,0.32886,0.21508,0.19572,0.14413,0.98352,7.30326,1.17926,0.000219149,0.000219149,0.000219149
3,123.669,1.00384,2.0461,1.24146,0.19669,0.73399,0.35411,0.27144,1.0031,4.5312,1.21762,0.000328936,0.000328936,0.000328936
4,159.815,0.96511,1.70046,1.19294,0.35958,0.66581,0.48235,0.32073,1.26011,2.35946,1.48415,0.00043646,0.00043646,0.00043646
5,195.401,1.00438,1.50245,1.2469,0.43879,0.6349,0.53716,0.38417,1.20771,2.28041,1.51909,0.000541723,0.000541723,0.000541723
6,230.973,0.96354,1.46023,1.21779,0.22709,0.61735,0.43611,0.27962,1.31459,2.66779,1.53663,0.000644724,0.000644724,0.000644724
7,268.357,0.98827,1.44525,1.21292,0.51473,0.53283,0.47208,0.33497,1.22807,2.92699,1.46863,0.000671588,0.000671588,0.000671588
8,304.29,0.96453,1.31509,1.19222,0.68285,0.44848,0.49953,0.3628,1.29797,2.39773,1.58376,0.00066452,0.00066452,0.00066452
9,339.769,0.97397,1.42322,1.20232,0.43289,0.48558,0.56101,0.40305,1.16838,2.32336,1.40684,0.000657451,0.000657451,0.000657451
10,377.563,0.88417,1.12297,1.13663,0.7505,0.37426,0.59165,0.42366,1.13714,2.06646,1.36987,0.000650383,0.000650383,0.000650383
11,413.719,0.92841,1.13567,1.15054,0.58481,0.48727,0.53596,0.39003,1.18858,1.9338,1.45879,0.000643314,0.000643314,0.000643314
12,450.876,0.88206,1.08328,1.13164,0.50561,0.7154,0.67361,0.49866,1.14381,1.60061,1.40331,0.000636245,0.000636245,0.000636245
13,487.26,0.90588,1.0937,1.16425,0.58814,0.50315,0.54442,0.37978,1.35337,2.48938,1.7004,0.000629177,0.000629177,0.000629177
14,522.674,0.81125,1.00039,1.11813,0.65491,0.49315,0.61695,0.41237,1.47185,2.04153,1.70978,0.000622108,0.000622108,0.000622108
15,558.164,0.84877,1.03689,1.14924,0.85696,0.46312,0.56806,0.42182,1.14675,1.8794,1.40557,0.00061504,0.00061504,0.00061504
16,593.481,0.80773,0.95492,1.101,0.76605,0.58856,0.6787,0.44732,1.37173,1.57696,1.7212,0.000607971,0.000607971,0.000607971
17,628.82,0.76433,0.90692,1.08301,0.70823,0.51906,0.60119,0.41698,1.3584,1.97916,1.68719,0.000600902,0.000600902,0.000600902
18,664.21,0.75705,0.86333,1.07436,0.79573,0.57563,0.68042,0.50134,1.21257,1.6896,1.43231,0.000593834,0.000593834,0.000593834
19,699.783,0.79015,0.95799,1.11544,0.7566,0.73171,0.78352,0.61089,1.04833,1.13375,1.30987,0.000586765,0.000586765,0.000586765
20,735.322,0.74931,0.87149,1.06523,0.59208,0.655,0.72739,0.5503,1.13519,1.40817,1.44051,0.000579697,0.000579697,0.000579697
21,771.239,0.75611,0.84483,1.07313,0.7579,0.65746,0.75237,0.5925,1.07919,1.30796,1.35225,0.000572628,0.000572628,0.000572628
22,806.896,0.72031,0.85133,1.06583,0.82128,0.7638,0.82953,0.64924,1.00303,1.42101,1.28323,0.000565559,0.000565559,0.000565559
23,842.311,0.70943,0.76759,1.04426,0.80234,0.63005,0.75628,0.53957,1.06386,1.57629,1.31159,0.000558491,0.000558491,0.000558491
24,877.572,0.70697,0.72528,1.04684,0.65822,0.69524,0.7238,0.5405,1.11479,1.38442,1.39836,0.000551422,0.000551422,0.000551422
25,912.886,0.67647,0.74644,1.04829,0.80037,0.76586,0.83136,0.64125,1.03492,1.23342,1.29602,0.000544354,0.000544354,0.000544354
26,948.253,0.67889,0.76305,1.04785,0.78682,0.65174,0.78601,0.60521,0.97735,1.64538,1.23432,0.000537285,0.000537285,0.000537285
27,983.463,0.67157,0.77893,1.0422,0.81326,0.53494,0.73898,0.57953,1.05929,1.6595,1.27922,0.000530216,0.000530216,0.000530216
28,1018.91,0.68733,0.80169,1.04544,0.7214,0.58823,0.73737,0.55544,1.02709,1.45545,1.32036,0.000523148,0.000523148,0.000523148
29,1054.2,0.66625,0.69065,1.02704,0.68335,0.60706,0.67485,0.54683,1.03175,1.65717,1.31753,0.000516079,0.000516079,0.000516079
30,1089.51,0.66648,0.6992,1.03832,0.62627,0.53905,0.61333,0.4989,1.04528,1.81865,1.34542,0.000509011,0.000509011,0.000509011
31,1124.81,0.64053,0.65675,1.04679,0.71434,0.60447,0.67889,0.54091,1.03931,1.57618,1.32893,0.000501942,0.000501942,0.000501942
32,1160.07,0.64664,0.63725,1.03081,0.77437,0.66792,0.73647,0.56761,1.01833,1.38577,1.29375,0.000494873,0.000494873,0.000494873
33,1195.6,0.65885,0.68929,1.04034,0.7664,0.66668,0.77871,0.60939,1.05623,1.21407,1.33368,0.000487805,0.000487805,0.000487805
34,1230.96,0.64285,0.69542,1.03411,0.85952,0.60752,0.7627,0.60893,0.96675,1.14397,1.2592,0.000480736,0.000480736,0.000480736
35,1266.24,0.64297,0.64472,1.03459,0.69641,0.62699,0.71472,0.55895,0.8973,1.31785,1.20126,0.000473668,0.000473668,0.000473668
36,1301.8,0.63543,0.62629,1.0124,0.81296,0.57125,0.70451,0.52627,1.07078,1.46896,1.29339,0.000466599,0.000466599,0.000466599
37,1337.07,0.59533,0.6001,1.00242,0.86571,0.60532,0.76064,0.58158,0.99236,1.12542,1.25947,0.00045953,0.00045953,0.00045953
38,1374.77,0.58595,0.61475,1.00402,0.7835,0.6229,0.7826,0.62329,0.95113,1.17376,1.20482,0.000452462,0.000452462,0.000452462
39,1410.6,0.61037,0.6223,1.0077,0.83996,0.61063,0.75869,0.60951,0.98848,1.19141,1.24695,0.000445393,0.000445393,0.000445393
40,1446.8,0.58619,0.60745,0.99606,0.70663,0.69488,0.70758,0.58321,0.96942,1.16067,1.26402,0.000438325,0.000438325,0.000438325
41,1482.15,0.58506,0.58233,1.00622,0.75307,0.61895,0.67206,0.54218,0.99757,1.26274,1.24756,0.000431256,0.000431256,0.000431256
42,1520.13,0.57446,0.58597,1.00085,0.70421,0.66187,0.66563,0.53408,0.94024,1.25358,1.19274,0.000424187,0.000424187,0.000424187
43,1557.17,0.54906,0.57262,0.97895,0.7091,0.62352,0.68847,0.5381,1.00746,1.53243,1.26107,0.000417119,0.000417119,0.000417119
44,1595.28,0.53924,0.54631,0.97573,0.71373,0.5941,0.64732,0.5181,1.00412,1.6294,1.21458,0.00041005,0.00041005,0.00041005
45,1632.12,0.55278,0.5398,0.97566,0.70411,0.59588,0.67401,0.52859,0.95656,1.50658,1.22824,0.000402982,0.000402982,0.000402982
46,1667.41,0.57419,0.58891,0.99449,0.68386,0.65572,0.75791,0.59758,0.96572,1.417,1.22306,0.000395913,0.000395913,0.000395913
47,1702.68,0.55845,0.56469,1.00461,0.79733,0.70448,0.79201,0.62598,0.9742,1.18389,1.25029,0.000388844,0.000388844,0.000388844
48,1738.16,0.53925,0.52069,0.97149,0.87937,0.66922,0.77391,0.61809,1.07724,1.16713,1.27048,0.000381776,0.000381776,0.000381776
49,1771.07,0.5311,0.52238,0.98313,0.8284,0.68044,0.73024,0.59036,0.9812,1.24903,1.26415,0.000374707,0.000374707,0.000374707
50,1800.25,0.51352,0.47707,0.95878,0.69665,0.71559,0.72882,0.58531,0.97827,1.29602,1.25381,0.000367639,0.000367639,0.000367639
