epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.606,1.18785,3.04326,1.43889,0.36973,0.28156,0.26583,0.18151,1.09584,4.35656,1.42239,0.000232333,0.000232333,0.000232333
2,189.126,1.05376,1.88007,1.30768,0.58541,0.51108,0.50847,0.35413,1.11186,2.02354,1.38663,0.000461021,0.000461021,0.000461021
3,259.37,1.06858,1.62865,1.31191,0.56933,0.36353,0.37403,0.24578,1.20781,2.57889,1.5395,0.000680283,0.000680283,0.000680283
4,334.042,1.02437,1.41944,1.28949,0.29582,0.55493,0.43251,0.25501,1.25801,2.01838,1.6083,0.000671588,0.000671588,0.000671588
5,415.144,1.01765,1.33092,1.25741,0.42198,0.70118,0.62347,0.43692,1.12849,1.49178,1.48613,0.000657451,0.000657451,0.000657451
6,512.224,0.98986,1.24242,1.25712,0.81443,0.5152,0.65618,0.47851,1.10103,1.49341,1.47741,0.000643314,0.000643314,0.000643314
7,597.647,0.93574,1.13843,1.21323,0.72428,0.65569,0.71231,0.53455,1.00142,1.32789,1.38225,0.000629177,0.000629177,0.000629177
8,684.56,0.90904,1.056,1.20977,0.75646,0.73163,0.80094,0.60998,0.99307,1.26525,1.37245,0.00061504,0.00061504,0.00061504
9,770.103,0.90728,1.02036,1.19937,0.50301,0.61474,0.61226,0.46954,0.93245,1.76239,1.39297,0.000600902,0.000600902,0.000600902
10,854.396,0.87961,0.98476,1.17244,0.6628,0.65492,0.71187,0.50798,1.08372,1.15573,1.4292,0.000586765,0.000586765,0.000586765
11,935.06,0.85626,0.89775,1.16612,0.61518,0.774,0.74705,0.56448,0.97469,1.20119,1.33908,0.000572628,0.000572628,0.000572628
12,1004.24,0.87045,0.90637,1.18771,0.76824,0.70076,0.77223,0.59146,0.97513,0.97585,1.37088,0.000558491,0.000558491,0.000558491
13,1073.62,0.84618,0.83705,1.16957,0.85095,0.68331,0.82388,0.61783,0.94646,0.96267,1.34362,0.000544354,0.000544354,0.000544354
14,1143.44,0.8161,0.83251,1.16626,0.79623,0.75737,0.82953,0.63751,0.91499,0.89613,1.32189,0.000530216,0.000530216,0.000530216
15,1214.88,0.8194,0.81783,1.1466,0.80052,0.72209,0.82082,0.6014,1.0028,1.04587,1.37189,0.000516079,0.000516079,0.000516079
16,1285.74,0.80061,0.79395,1.14235,0.83178,0.5941,0.75759,0.5737,0.96218,1.33755,1.36285,0.000501942,0.000501942,0.000501942
17,1358.16,0.75882,0.7177,1.12407,0.85676,0.7386,0.83923,0.65145,0.96092,0.83462,1.34564,0.000487805,0.000487805,0.000487805
18,1427.71,0.75506,0.74086,1.10467,0.74844,0.76661,0.83483,0.62946,0.93224,0.79451,1.31622,0.000473668,0.000473668,0.000473668
19,1498.21,0.74097,0.72335,1.10475,0.79825,0.77897,0.82437,0.62549,0.93055,0.81527,1.34972,0.00045953,0.00045953,0.00045953
20,1568,0.74147,0.71714,1.10955,0.85356,0.75116,0.82481,0.64408,0.96916,0.86181,1.37841,0.000445393,0.000445393,0.000445393
21,1637.63,0.74009,0.68982,1.11158,0.85329,0.72982,0.8452,0.62817,0.89799,0.9541,1.27978,0.000431256,0.000431256,0.000431256
22,1707.2,0.71375,0.64327,1.0925,0.8249,0.74628,0.80764,0.63131,0.95988,0.80923,1.33293,0.000417119,0.000417119,0.000417119
23,1777.18,0.70876,0.63877,1.09388,0.87626,0.76097,0.85765,0.65524,0.91251,0.75381,1.31102,0.000402982,0.000402982,0.000402982
24,1846.94,0.68683,0.59902,1.0793,0.8754,0.78152,0.87004,0.66174,0.95937,0.74526,1.36694,0.000388844,0.000388844,0.000388844
25,1916.93,0.66733,0.6036,1.06552,0.8742,0.78876,0.85856,0.67792,0.84127,0.71031,1.24388,0.000374707,0.000374707,0.000374707
26,1986.82,0.66673,0.60217,1.0708,0.85028,0.70638,0.84651,0.65471,0.89935,0.93515,1.28974,0.00036057,0.00036057,0.00036057
27,2058.66,0.67199,0.6073,1.07121,0.72541,0.79679,0.8107,0.62159,1.02216,1.01516,1.40521,0.000346433,0.000346433,0.000346433
28,2129.74,0.64419,0.56787,1.03942,0.87023,0.7561,0.90293,0.70703,0.92787,0.71091,1.32769,0.000332296,0.000332296,0.000332296
29,2200.25,0.64886,0.56883,1.0726,0.89581,0.80215,0.88868,0.695,0.91918,0.67157,1.33017,0.000318158,0.000318158,0.000318158
30,2271.07,0.64186,0.57223,1.06467,0.79769,0.84983,0.89078,0.70314,0.8824,0.69558,1.29415,0.000304021,0.000304021,0.000304021
31,2341.49,0.62939,0.52777,1.03919,0.84511,0.83967,0.86773,0.67066,0.94032,0.70714,1.33264,0.000289884,0.000289884,0.000289884
32,2411.54,0.60708,0.53497,1.02789,0.78306,0.76211,0.84783,0.65094,0.86604,0.88974,1.25595,0.000275747,0.000275747,0.000275747
33,2481.58,0.60224,0.50294,1.03268,0.90364,0.76453,0.85623,0.67036,0.84521,0.68187,1.25759,0.00026161,0.00026161,0.00026161
34,2552.15,0.59294,0.51005,1.02742,0.8285,0.82304,0.86618,0.67621,0.83387,0.69875,1.25802,0.000247472,0.000247472,0.000247472
35,2624.31,0.57311,0.47725,1.01783,0.74458,0.73074,0.794,0.64716,0.82332,0.86408,1.25607,0.000233335,0.000233335,0.000233335
36,2689.62,0.56784,0.46817,1.01791,0.88566,0.832,0.87131,0.70695,0.83488,0.6356,1.28235,0.000219198,0.000219198,0.000219198
37,2754.71,0.57197,0.46786,1.01873,0.80095,0.78386,0.84654,0.66451,0.86023,0.71832,1.28434,0.000205061,0.000205061,0.000205061
38,2819.84,0.54855,0.43636,0.9964,0.90238,0.65481,0.81714,0.64129,0.85482,0.75377,1.28231,0.000190924,0.000190924,0.000190924
39,2884.84,0.54177,0.44239,1.00028,0.84832,0.70465,0.81623,0.65128,0.87287,0.79103,1.30483,0.000176786,0.000176786,0.000176786
40,2993.12,0.53927,0.45462,1.00648,0.79782,0.79068,0.85325,0.68485,0.86687,0.71678,1.2661,0.000162649,0.000162649,0.000162649
41,3058.67,0.47947,0.34903,0.99881,0.85284,0.75688,0.8701,0.70317,0.84501,0.72726,1.26082,0.000148512,0.000148512,0.000148512
42,3122.92,0.4409,0.30945,0.95869,0.93123,0.76393,0.88341,0.70694,0.8729,0.70098,1.28513,0.000134375,0.000134375,0.000134375
43,3191.27,0.41846,0.29643,0.94341,0.8197,0.82251,0.86853,0.68112,0.88945,0.68341,1.30564,0.000120238,0.000120238,0.000120238
44,3255.89,0.40299,0.27952,0.9425,0.91128,0.72547,0.876,0.68969,0.8486,0.71519,1.28539,0.0001061,0.0001061,0.0001061
45,7266.53,0.39407,0.28205,0.94267,0.88889,0.78012,0.86024,0.68423,0.87079,0.81249,1.30277,9.19632e-05,9.19632e-05,9.19632e-05
46,7337.05,0.37179,0.25954,0.91992,0.83359,0.77479,0.8707,0.69099,0.87238,0.70846,1.29681,7.7826e-05,7.7826e-05,7.7826e-05
47,7406.36,0.37381,0.26335,0.93063,0.85841,0.78434,0.88383,0.69221,0.86259,0.72843,1.29513,6.36888e-05,6.36888e-05,6.36888e-05
48,7481.12,0.37189,0.25225,0.91315,0.84566,0.79973,0.86841,0.6758,0.86326,0.73925,1.30179,4.95516e-05,4.95516e-05,4.95516e-05
49,7573.49,0.35967,0.25123,0.91755,0.8664,0.80012,0.86304,0.68794,0.85996,0.72142,1.30283,3.54144e-05,3.54144e-05,3.54144e-05
50,7665.5,0.34927,0.24204,0.91112,0.86576,0.78505,0.86137,0.68903,0.85545,0.72098,1.30326,2.12772e-05,2.12772e-05,2.12772e-05
