epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1192,1.23852,4.02601,1.50787,0.06821,0.42429,0.10842,0.07523,1.18342,7.0901,1.47494,0.0001071,0.0001071,0.0001071
2,62.4666,0.91974,2.51431,1.22929,0.44765,0.38247,0.33518,0.26482,1.00559,4.61508,1.23548,0.000199427,0.000199427,0.000199427
3,87.0283,0.92473,1.9255,1.19716,0.22999,0.37524,0.28636,0.22779,1.10473,3.06504,1.25945,0.000269135,0.000269135,0.000269135
4,111.42,0.88262,1.5992,1.14717,0.26227,0.55747,0.47702,0.35555,1.05887,2.34407,1.25018,0.000316223,0.000316223,0.000316223
5,135.8,0.80549,1.40849,1.08508,0.47479,0.51561,0.50285,0.35433,1.1667,2.31214,1.34271,0.000340692,0.000340692,0.000340692
6,160.436,0.78377,1.165,1.09299,0.4019,0.63398,0.55776,0.41784,1.09017,1.90101,1.27085,0.000342541,0.000342541,0.000342541
7,185.133,0.75331,1.03543,1.05079,0.63101,0.59916,0.67692,0.50321,1.00464,1.75787,1.22848,0.000289884,0.000289884,0.000289884
8,209.834,0.70409,0.87507,1.03265,0.57408,0.77255,0.76477,0.59812,0.90082,1.4925,1.14148,0.000219198,0.000219198,0.000219198
9,234.544,0.65218,0.78133,1.0207,0.71091,0.67351,0.78437,0.61071,0.97666,1.31251,1.197,0.000148512,0.000148512,0.000148512
10,260.525,0.62737,0.69252,0.99024,0.64621,0.67819,0.73911,0.58347,0.93043,1.37003,1.16866,7.7826e-05,7.7826e-05,7.7826e-05
