epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.096,1.20526,2.99555,1.44574,0.53989,0.5106,0.44957,0.30653,0.93171,3.60949,1.26982,0.000233333,0.000233333,0.000233333
2,225.044,1.07112,1.72476,1.30206,0.41796,0.61158,0.56576,0.4156,1.05071,2.25475,1.31457,0.000462001,0.000462001,0.000462001
3,335.85,1.06531,1.51537,1.30092,0.33287,0.43676,0.37423,0.25456,1.2288,2.12122,1.47966,0.000681244,0.000681244,0.000681244
4,449.417,1.0408,1.46637,1.28568,0.49138,0.52794,0.62798,0.42909,1.1134,1.99135,1.44205,0.000671588,0.000671588,0.000671588
5,558.994,0.98108,1.27821,1.25664,0.64738,0.42963,0.5906,0.42293,1.06675,1.5382,1.42027,0.000657451,0.000657451,0.000657451
6,668.117,1.00072,1.24194,1.29011,0.63137,0.52243,0.46999,0.34816,1.10273,1.90166,1.45924,0.000643314,0.000643314,0.000643314
7,777.124,0.97605,1.18312,1.2549,0.56917,0.67973,0.61483,0.43953,1.03921,1.66697,1.36549,0.000629177,0.000629177,0.000629177
8,886.124,0.94747,1.12907,1.23555,0.52034,0.78044,0.72467,0.53285,1.03506,1.41626,1.36457,0.00061504,0.00061504,0.00061504
9,995.45,0.92015,1.05238,1.21376,0.59538,0.77352,0.79686,0.58034,0.98621,1.13834,1.31323,0.000600902,0.000600902,0.000600902
10,1104.96,0.91028,1.02373,1.20549,0.87771,0.68489,0.79207,0.57024,0.97311,1.25703,1.3457,0.000586765,0.000586765,0.000586765
11,1214.03,0.85927,0.95176,1.17467,0.69585,0.6819,0.65477,0.50052,0.93465,1.18197,1.34025,0.000572628,0.000572628,0.000572628
12,1323.56,0.84363,0.9171,1.15479,0.73664,0.74366,0.77964,0.55718,1.00846,1.12502,1.41577,0.000558491,0.000558491,0.000558491
13,1433.75,0.81176,0.88545,1.15229,0.78549,0.70843,0.75414,0.59921,0.88335,1.00757,1.27107,0.000544354,0.000544354,0.000544354
14,1545.32,0.80318,0.88311,1.12884,0.758,0.80023,0.81836,0.61592,0.88802,0.93373,1.30928,0.000530216,0.000530216,0.000530216
